arm,entropy,epoch,eval_entropy,eval_loss,eval_mean_token_accuracy,eval_num_tokens,eval_runtime,eval_samples_per_second,eval_steps_per_second,grad_norm,learning_rate,loss,mean_token_accuracy,num_tokens,split
unknown,1.031,0.3743,,,,,,,,1.234,3.111e-05,1.025,0.7741,1721000.0,train
unknown,1.107,0.3804,,,,,,,,1.779,2.976e-05,1.126,0.753,1748000.0,train
unknown,1.189,0.3864,,,,,,,,1.652,2.843e-05,1.191,0.7385,1778000.0,train
unknown,1.237,0.3925,,,,,,,,1.473,2.714e-05,1.241,0.727,1806000.0,train
unknown,1.171,0.3985,,,,,,,,1.736,2.589e-05,1.169,0.736,1835000.0,train
unknown,1.237,0.4045,,,,,,,,1.299,2.467e-05,1.237,0.7267,1863000.0,train
unknown,1.09,0.4106,,,,,,,,1.191,2.35e-05,1.085,0.7551,1890000.0,train
unknown,1.193,0.4166,,,,,,,,1.454,2.236e-05,1.191,0.7342,1918000.0,train
unknown,1.109,0.4226,,,,,,,,1.408,2.127e-05,1.073,0.7596,1944000.0,train
unknown,1.17,0.4287,,,,,,,,1.778,2.022e-05,1.175,0.7387,1972000.0,train
unknown,1.192,0.4347,,,,,,,,1.618,1.921e-05,1.208,0.7314,1999000.0,train
unknown,1.144,0.4408,,,,,,,,1.687,1.825e-05,1.134,0.748,2026000.0,train
unknown,1.088,0.4468,,,,,,,,1.925,1.734e-05,1.071,0.7572,2051000.0,train
unknown,1.107,0.4528,,,,,,,,1.292,1.648e-05,1.102,0.7537,2078000.0,train
unknown,,0.4528,1.068,1.113,0.7521,2078000.0,19.63,40.76,5.095,,,,,,eval
unknown,1.058,0.4589,,,,,,,,1.922,1.567e-05,1.152,0.7444,2106000.0,train
unknown,1.061,0.4649,,,,,,,,1.251,1.491e-05,1.018,0.7668,2133000.0,train
unknown,1.137,0.4709,,,,,,,,1.417,1.42e-05,1.109,0.7513,2160000.0,train
unknown,1.052,0.477,,,,,,,,1.131,1.354e-05,1.048,0.7629,2189000.0,train
unknown,1.03,0.483,,,,,,,,1.749,1.294e-05,1.064,0.7613,2215000.0,train
unknown,1.087,0.4891,,,,,,,,1.415,1.239e-05,1.057,0.7599,2242000.0,train
unknown,1.238,0.4951,,,,,,,,1.405,1.19e-05,1.257,0.7236,2268000.0,train
unknown,1.053,0.5011,,,,,,,,1.191,1.146e-05,1.024,0.7694,2298000.0,train
unknown,1.142,0.5072,,,,,,,,2.014,1.108e-05,1.163,0.7395,2322000.0,train
unknown,1.103,0.5132,,,,,,,,1.772,1.076e-05,1.099,0.7568,2349000.0,train
unknown,1.07,0.5192,,,,,,,,1.323,1.049e-05,1.067,0.7527,2378000.0,train
unknown,1.094,0.5253,,,,,,,,1.572,1.028e-05,1.09,0.7543,2405000.0,train
unknown,1.098,0.5313,,,,,,,,1.414,1.013e-05,1.082,0.7493,2431000.0,train
unknown,1.136,0.5374,,,,,,,,1.942,1.004e-05,1.107,0.7416,2459000.0,train
unknown,1.099,0.5434,,,,,,,,1.307,1e-05,1.114,0.7479,2488000.0,train
unknown,,0.5434,1.058,1.101,0.7534,2488000.0,19.8,40.41,5.051,,,,,,eval
